id,deduction_date,customer_name,customer_account,standard_customer,deduction_reference,invoice_number,,,,,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,validation,invalid_amount,valid_amount,billback,billback_date,billback_amount,recover_status,recoverd_amount
,17-08-2023,Associated Wholesale Grocers,40000625,AWG,9032951096,9032951096,1,1,1,0,215.26,Freight Allowance,,Yes,No,0,0,0,,,,,
,7/8/2023,Associated Wholesale Grocers,40000625,AWG,9032911070,9032911070,1,1,1,0,217.27,Freight Allowance,,Yes,No,0,0,0,,,,,
695476,14-08-2023,Kroger Company,40000081,Kroger,9032893772-CM,9032893772-CM,1,1,1,0,315.4,Freight Allowance,,Yes,No,0,0,0,,,,,
,20-01-2023,Gordon Food Service ,40000202,Gordon,9032181182,9032181182,1,1,1,0,115.27,Freight Allowance,,Yes,Yes,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032854459,9032854459,1,1,1,0,288.64,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-07-2023,Associated Wholesale Grocers,40000625,AWG,9032861701,9032861701,1,1,1,0,288.7,Freight Allowance,,Yes,No,0,0,0,,,,,
,31-07-2023,Associated Wholesale Grocers,40000625,AWG,9032882434,9032882434,1,1,1,0,307.44,Freight Allowance,,Yes,No,0,0,0,,,,,
,16-08-2023,C&S Wholesale Grocers Inc,40000622,C&S,9032945370,9032945370,1,1,1,0,15.61,Freight Allowance,,Yes,No,0,0,0,,,,,
,31-07-2023,Associated Wholesale Grocers,40000625,AWG,9032880053,9032880053,1,1,1,0,342.53,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279103 ,2/8/2023,Associated Wholesale Grocers,40000625,AWG,9032890434,9032890434,1,1,1,0,345.04,Freight Allowance,,Yes,No,0,0,0,,,,,
,11/8/2023,Associated Wholesale Grocers,40000625,AWG,9032929940,9032929940,1,1,1,0,349.84,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0279106 ,2/8/2023,Associated Wholesale Grocers,40000625,AWG,9032889272,9032889272,1,1,1,0,386.75,Freight Allowance,,Yes,No,0,0,0,,,,,
,7/8/2023,Associated Wholesale Grocers,40000625,AWG,9032913748,9032913748,1,1,1,0,397.77,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-08-2023,C&S Wholesale Grocers Inc,40000622,C&S,9032956123,9032956123,1,1,1,0,379.78,Freight Allowance,,Yes,No,0,0,0,,,,,
,11/8/2023,C&S Wholesale Grocers Inc,40000622,C&S,9032931101,9032931101,1,1,1,0,283.25,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/8/2023,C&S Wholesale Grocers Inc,40000622,C&S,9032833521,9032833521,1,1,1,0,274.48,Freight Allowance,,Yes,No,0,0,0,,,,,
,25-07-2023,C&S Wholesale Grocers Inc,40000622,C&S,9032860409,9032860409,1,1,1,0,202.81,Freight Allowance,,Yes,No,0,0,0,,,,,
,11/8/2023,C&S Wholesale Grocers Inc,40000622,C&S,9032931099,9032931099,1,1,1,0,166.42,Freight Allowance,,Yes,No,0,0,0,,,,,
,3/8/2023,Gordon Food Service,40000202,Gordon,9032904355,9032904355,1,1,1,0,228.53,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/8/2023,Gordon Food Service,40000202,Gordon,9032882537,9032882537,1,1,1,0,59.84,Freight Allowance,,Yes,No,0,0,0,,,,,
,19-07-2023,Gordon Food Service,40000202,Gordon,9032830060,9032830060,1,1,1,0,135,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-07-2023,Gordon Food Service,40000202,Gordon,9032759445,9032759445,1,1,1,0,115.06,Freight Allowance,,Yes,No,0,0,0,,,,,
,19-07-2023,Gordon Food Service,40000202,Gordon,9032810483,9032810483,2,2,2,0,118.01,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/8/2023,Gordon Food Service,40000202,Gordon,9032930107,9032930107,1,1,1,0,135.66,Freight Allowance,,Yes,No,0,0,0,,,,,
,19-07-2023,Gordon Food Service,40000202,Gordon,9032810483,9032810483,2,2,2,0,202.75,Freight Allowance,,Yes,No,0,0,0,,,,,
,15-08-2023,Gordon Food Service,40000202,Gordon,9032900128,9032900128,1,1,1,0,60.53,Freight Allowance,,Yes,No,0,0,0,,,,,
,7/7/2023,Gordon Food Service,40000202,Gordon,9032678047,9032678047,2,2,4,2,202.17,Freight Allowance,,Yes,No,0,0,0,,,,,
,16-08-2023,Gordon Food Service,40000202,Gordon,9032927719,9032927719,1,1,1,0,60.53,Freight Allowance,,Yes,No,0,0,0,,,,,
,16-08-2023,Gordon Food Service,40000202,Gordon,9032928940,9032928940,1,1,1,0,82.68,Freight Allowance,,Yes,No,0,0,0,,,,,
,16-08-2023,Gordon Food Service,40000202,Gordon,9032928605,9032928605,1,1,1,0,173.81,Freight Allowance,,Yes,No,0,0,0,,,,,
,17-08-2023,Gordon Food Service,40000202,Gordon,9032956520,9032956520,1,1,1,0,234.61,Freight Allowance,,Yes,No,0,0,0,,,,,
,23-08-2023,Gordon Food Service,40000202,Gordon,9032953291,9032953291,1,1,1,0,166.77,Freight Allowance,,Yes,No,0,0,0,,,,,
,24-08-2023,Gordon Food Service,40000202,Gordon,9032977139,9032977139,2,2,2,0,248.52,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0286545,30-08-2023,Associated Wholesale Grocers,40000625,AWG,9032990689,9032990689,1,1,1,0,378.47,Freight Allowance,,Yes,No,0,0,0,,,,,
712307,20-09-2023,Kroger Company,40000081,Kroger,9033027576,9033027576,1,1,1,0,355.28,Freight Allowance,,Yes,No,0,0,0,,,,,
,15-09-2023,SpartanNash Company,40000152,Spartan Nash,9033061770,9033061770,1,1,1,0,325.2,Freight Allowance,,Yes,No,0,0,0,,,,,
712311,15-09-2023,Kroger Company,40000081,Kroger,9033015498,9033015498,1,1,1,0,248.34,Freight Allowance,,Yes,No,0,0,0,,,,,
,22-09-2023,Publix Supermarkets Inc,40000004,Publix,9033084848,9033084848,1,1,1,0,148.87,Freight Allowance,,Yes,No,0,0,0,,,,,
712316,18-09-2023,Kroger Company,40000081,Kroger,9033021857,9033021857,1,1,1,0,145.24,Freight Allowance,,Yes,No,0,0,0,,,,,
,15-09-2023,Publix Supermarkets Inc,40000004,Publix,9033062939,9033062939,1,1,1,0,144.18,Freight Allowance,,Yes,No,0,0,0,,,,,
,5/9/2023,Associated Wholesale Grocers,40000625,AWG,9033006269,9033006269,1,1,1,0,144.12,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-09-2023,Publix Supermarkets Inc,40000004,Publix,9033057486,9033057486,1,1,1,0,142.4,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-09-2023,Publix Supermarkets Inc,40000004,Publix,9033064709,9033064709,1,1,1,0,133.99,Freight Allowance,,Yes,No,0,0,0,,,,,
,20-09-2023,Publix Supermarkets Inc,40000004,Publix,9033077063,9033077063,1,1,1,0,133.21,Freight Allowance,,Yes,No,0,0,0,,,,,
712321,11/9/2023,Kroger Company,40000081,Kroger,9032986802,9032986802,1,1,1,0,128.73,Freight Allowance,,Yes,No,0,0,0,,,,,
712327,6/9/2023,Kroger Company,40000081,Kroger,9032923162,9032923162,1,1,1,0,122.92,Freight Allowance,,Yes,No,0,0,0,,,,,
,13-09-2023,Publix Supermarkets Inc,40000004,Publix,9033057364,9033057364,1,1,1,0,116,Freight Allowance,,Yes,No,0,0,0,,,,,
,22-09-2023,Publix Supermarkets Inc,40000004,Publix,9033083582,9033083582,1,1,1,0,111.88,Freight Allowance,,Yes,No,0,0,0,,,,,
,13-09-2023,Publix Supermarkets Inc,40000004,Publix,9033052246,9033052246,1,1,1,0,110.58,Freight Allowance,,Yes,No,0,0,0,,,,,
712334,1/9/2023,Kroger Company,40000081,Kroger,9032964121,9032964121,1,1,1,0,109.77,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033080732,9033080732,1,1,1,0,109.67,Freight Allowance,,Yes,No,0,0,0,,,,,
712339,31-08-2023,Kroger Company,40000081,Kroger,9032957700,9032957700,1,1,1,0,100.8,Freight Allowance,,Yes,No,0,0,0,,,,,
,7/9/2023,C&S Wholesale Grocers Inc,40000622,C&S,9033023873,9033023873,1,1,1,0,138.74,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0286556,14-09-2023,Associated Wholesale Grocers,40000625,AWG,9033054480,9033054480,2,2,2,0,84.13,Freight Allowance,,Yes,No,0,0,0,,,,,
,5/9/2023,SpartanNash Company,40000152,Spartan Nash,9033019824,9033019824,1,1,1,0,78.57,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0286735,5/9/2023,Associated Wholesale Grocers,40000625,AWG,9033006731,9033006731,1,1,1,0,76.75,Freight Allowance,,Yes,No,0,0,0,,,,,
,13-09-2023,Publix Supermarkets Inc,40000004,Publix,9033054536,9033054536,1,1,1,0,73.9,Freight Allowance,,Yes,No,0,0,0,,,,,
,15-09-2023,Publix Supermarkets Inc,40000004,Publix,9033062891,9033062891,1,1,1,0,68.26,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033084348,9033084348,1,1,1,0,66.96,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-09-2023,Publix Supermarkets Inc,40000004,Publix,9033057490,9033057490,1,1,1,0,63.82,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-09-2023,Publix Supermarkets Inc,40000004,Publix,9033070184,9033070184,1,1,1,0,63.68,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033080579,9033080579,1,1,1,0,62.36,Freight Allowance,,Yes,No,0,0,0,,,,,
,12/9/2023,Publix Supermarkets Inc,40000004,Publix,9033050822,9033050822,1,1,1,0,55.81,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0286736,7/9/2023,Associated Wholesale Grocers,40000625,AWG,9033015737,9033015737,1,1,1,0,53.99,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033080697,9033080697,1,1,1,0,53.42,Freight Allowance,,Yes,No,0,0,0,,,,,
,12/9/2023,Publix Supermarkets Inc,40000004,Publix,9033052800,9033052800,1,1,1,0,53.05,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033080604,9033080604,1,1,1,0,51.6,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-09-2023,Publix Supermarkets Inc,40000004,Publix,9033069290,9033069290,1,1,1,0,51.15,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Publix Supermarkets Inc,40000004,Publix,9033080714,9033080714,1,1,1,0,50.32,Freight Allowance,,Yes,No,0,0,0,,,,,
,28-08-2023,Associated Wholesale Grocers,40000625,AWG,9032980911,9032980911,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,30-08-2023,Associated Wholesale Grocers,40000625,AWG,9032987867,9032987867,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,1/9/2023,Associated Wholesale Grocers,40000625,AWG,9033000199,9033000199,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,7/9/2023,Associated Wholesale Grocers,40000625,AWG,9033005852,9033005852,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-09-2023,Associated Wholesale Grocers,40000625,AWG,9033051578,9033051578,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,14-09-2023,Associated Wholesale Grocers,40000625,AWG,9033056354,9033056354,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,15-09-2023,Associated Wholesale Grocers,40000625,AWG,9033061414,9033061414,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,18-09-2023,Associated Wholesale Grocers,40000625,AWG,9033061733,9033061733,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Associated Wholesale Grocers,40000625,AWG,9033032848,9033032848,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,Associated Wholesale Grocers,40000625,AWG,9033056985,9033056985,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,22-09-2023,Associated Wholesale Grocers,40000625,AWG,9033057647,9033057647,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,22-09-2023,Associated Wholesale Grocers,40000625,AWG,9033079613,9033079613,1,1,1,0,50,Freight Allowance,,Yes,No,0,0,0,,,,,
,21-09-2023,C&S Wholesale Grocers Inc,40000622,C&S,9033081809,9033081809,1,1,1,0,51.06,Freight Allowance,,Yes,No,0,0,0,,,,,
,12/9/2023,C&S Wholesale Grocers Inc,40000622,C&S,9033041293,9033041293,1,1,1,0,28.28,Freight Allowance,,Yes,No,0,0,0,,,,,
,22-09-2023,Publix Supermarkets Inc,40000004,Publix,G13204601LC,G13204601LC,1,1,1,0,203.54,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0293930,28-09-2023,Associated Wholesale Grocers,40000625,AWG,9033105664,9033105664,1,1,1,0,398.56,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/10/2023,SpartanNash Company,40000152,Spartan Nash,9033127271,9033127271,2,2,2,0,390,Freight Allowance,,Yes,No,0,0,0,,,,,
,5/10/2023,Associated Wholesale Grocers,40000625,AWG,9033128073,9033128073,1,1,1,0,364.27,Freight Allowance,,Yes,No,0,0,0,,,,,
725751,27-09-2023,Kroger Company,40000081,Kroger,9033057599,9033057599,1,1,1,0,344.73,Freight Allowance,,Yes,No,0,0,0,,,,,
,3/10/2023,Kroger Company,40000081,Kroger,9033075971,9033075971,1,1,1,0,265.29,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0294055,27-09-2023,Associated Wholesale Grocers,40000625,AWG,9033099508,9033099508,2,2,2,0,260.92,Freight Allowance,,Yes,No,0,0,0,,,,,
,29-09-2023,Publix Supermarkets Inc,40000004,Publix,9033108655,9033108655,1,1,1,0,214.96,Freight Allowance,,Yes,No,0,0,0,,,,,
725769,2/10/2023,Kroger Company,40000081,Kroger,9033074417,9033074417,1,1,1,0,179.21,Freight Allowance,,Yes,No,0,0,0,,,,,
,6/10/2023,Associated Wholesale Grocers,40000625,AWG,9033088807,9033088807,1,1,1,0,156.75,Freight Allowance,,Yes,No,0,0,0,,,,,
725783,11/10/2023,Kroger Company,40000081,Kroger,9033105259,9033105259,1,1,1,0,156.31,Freight Allowance,,Yes,No,0,0,0,,,,,
,25-09-2023,Publix Supermarkets Inc,40000004,Publix,9033089196,9033089196,1,1,1,0,151.53,Freight Allowance,,Yes,No,0,0,0,,,,,
,12/10/2023,Publix Supermarkets Inc,40000004,Publix,9033162494,9033162494,1,1,1,0,143.44,Freight Allowance,,Yes,No,0,0,0,,,,,
727212,5/10/2023,Kroger Company,40000081,Kroger,9033084178,9033084178,1,1,1,0,133.2,Freight Allowance,,Yes,No,0,0,0,,,,,
,27-09-2023,Associated Wholesale Grocers,40000625,AWG,9033099507,9033099507,1,1,1,0,129.2,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/10/2023,Publix Supermarkets Inc,40000004,Publix,9033153704,9033153704,1,1,1,0,127.98,Freight Allowance,,Yes,No,0,0,0,,,,,
727229,12/10/2023,Kroger Company,40000081,Kroger,9033110744,9033110744,1,1,1,0,125.84,Freight Allowance,,Yes,No,0,0,0,,,,,
727239,5/10/2023,Kroger Company,40000081,Kroger,9033086140,9033086140,1,1,1,0,120.07,Freight Allowance,,Yes,No,0,0,0,,,,,
,6/10/2023,Publix Supermarkets Inc,40000004,Publix,9033137380,9033137380,1,1,1,0,112.66,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0303489,25-09-2023,Associated Wholesale Grocers,40000625,AWG,9033090592,9033090592,1,1,1,0,108.01,Freight Allowance,,Yes,No,0,0,0,,,,,
,4/10/2023,Publix Supermarkets Inc,40000004,Publix,9033128480,9033128480,1,1,1,0,107.45,Freight Allowance,,Yes,No,0,0,0,,,,,
,13-10-2023,Publix Supermarkets Inc,40000004,Publix,9033166415,9033166415,1,1,1,0,106.58,Freight Allowance,,Yes,No,0,0,0,,,,,
727244,20-09-2023,Kroger Company,40000081,Kroger,9033029761-CM,9033029761-CM,1,1,1,0,103.5,Freight Allowance,,Yes,No,0,0,0,,,,,
,2/10/2023,Gordon Food Service,40000202,Gordon,9033089731,9033089731,1,1,1,0,99.85,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0303495 ,29-09-2023,Associated Wholesale Grocers,40000625,AWG,9033083595,9033083595,1,1,1,0,97.3,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/10/2023,Publix Supermarkets Inc,40000004,Publix,9033147933,9033147933,1,1,1,0,91.93,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/10/2023,Publix Supermarkets Inc,40000004,Publix,9033152117,9033152117,1,1,1,0,87.82,Freight Allowance,,Yes,No,0,0,0,,,,,
,3/10/2023,Publix Supermarkets Inc,40000004,Publix,9033126241,9033126241,1,1,1,0,85.56,Freight Allowance,,Yes,No,0,0,0,,,,,
,25-09-2023,Associated Wholesale Grocers,40000625,AWG,9033090517,9033090517,1,1,1,0,84.78,Freight Allowance,,Yes,No,0,0,0,,,,,
VEN0303497,13-10-2023,Associated Wholesale Grocers,40000625,AWG,9033155689,9033155689,1,1,1,0,79.72,Freight Allowance,,Yes,No,0,0,0,,,,,
,2/10/2023,Publix Supermarkets Inc,40000004,Publix,9033117284,9033117284,1,1,1,0,78.77,Freight Allowance,,Yes,No,0,0,0,,,,,
,10/10/2023,Publix Supermarkets Inc,40000004,Publix,9033144282,9033144282,1,1,1,0,73.03,Freight Allowance,,Yes,No,0,0,0,,,,,
,13-10-2023,Associated Wholesale Grocers,40000625,AWG,9033153254,9033153254,1,1,1,0,69.35,Freight Allowance,,Yes,No,0,0,0,,,,,
,12/10/2023,Publix Supermarkets Inc,40000004,Publix,9033158976,9033158976,1,1,1,0,67.88,Freight Allowance,,Yes,No,0,0,0,,,,,
