id,customer_account,customer_name,standard_customer,deduction_reference,invoice_number,deduction_date,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,bol,pod_status,invalid_amount,valid_amount
9100591429,1001201853,Mckesson,Mckesson,1400114966,9100591429,1/27/2023,10895.22,OSD,,,,,,,
9100597728,1001201853,Mckesson,Mckesson,1600035506,9100597728,2/3/2023,1348.2,OSD,,,,,,,
9111374559,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401187918,9111374559,8/4/2023,3273.27,OSD,,,,,,,
9111555340,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401195686,9111555340,8/23/2023,2618.62,OSD,,,,,,,
9111594947,1001000141,AMERISOURCE BERGEN CORP,Amerisource,1401198938,9111594947,8/31/2023,2626.32,OSD,,,,,,,
9111989897,1001000147,Mckesson,Mckesson,1401239858,9111989897,12/12/2023,2536.8,OSD,,,,,,,
9111831712,1001000147,Mckesson,Mckesson,1401226593,9111831712,11/7/2023,2334.48,OSD,,,,,,,
9112119747,1001000144,Mckesson,Mckesson,1401249144,9112119747,1/8/2024,2196.4,OSD,,,,,,,
9111669927,1001000147,Mckesson,Mckesson,1600583871,9111669927,9/26/2023,1836.8,OSD,,,,,,,
9111550936,1001000147,Mckesson,Mckesson,1600578516,9111550936,8/28/2023,1710,OSD,,,,,,,
9111552911,1001000147,Mckesson,Mckesson,1600578516,9111552911,8/28/2023,1404,OSD,,,,,,,
9112134365,1001000144,Mckesson,Mckesson,1401249144,9112134365,1/8/2024,1364,OSD,,,,,,,
9111889725,1001000144,Mckesson,Mckesson,1401225687,9111889725,11/6/2023,1344,OSD,,,,,,,
9111697408,1001000147,Mckesson,Mckesson,1401211809,9111697408,10/3/2023,1335.6,OSD,,,,,,,
9112165869,1001000144,Mckesson,Mckesson,1401252825,9112165869,1/18/2024,1288,OSD,,,,,,,
9111761743,1001000147,Mckesson,Mckesson,1401247482,9111761743,12/28/2023,1286.4,OSD,,,,,,,
9112119742,1001000144,Mckesson,Mckesson,1401249144,9112119742,1/8/2024,1193.8,OSD,,,,,,,
9111603562,1001000147,Mckesson,Mckesson,1401203116,9111603562,9/11/2023,1150,OSD,,,,,,,
9111648970,1001000147,Mckesson,Mckesson,1600582537,9111648970,9/19/2023,1150,OSD,,,,,,,
9111824795,1001000147,Mckesson,Mckesson,1600591000,9111824795,11/13/2023,1087.2,OSD,,,,,,,
9112128362,1001000144,Mckesson,Mckesson,1401249145,9112128362,1/16/2024,642.66,OSD,,,,,,,
9110673025,1001000147,Mckesson,Mckesson,1401239350,9110673025,12/11/2023,118.5,OSD,,,,,,,
9111372483,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,1401187887,9111372483,8/4/2023,2880,OSD,,,,,,,
9111869713,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,1401242073,9111869713,12/18/2023,2923.48,OSD,,,,,,,
9111996773,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,1401251025,9111996773,1/12/2024,4150,OSD,,,,,,,
9111522511,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,9111522511,9111522511,8/22/2023,1032.68,OSD,,,,,,,
9111512411,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,1401187991,9111512411,10/3/2023,3049.83,OSD,,,,,,,
9111918390,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,9111918390,9111918390,11/15/2023,1247.65,OSD,,,,,,,
9111877475,1001073153,Fisher,FISHER SCIENTIFIC COMPANY,9111877475,9111877475,12/12/2023,1710,OSD,,,,,,,
