id,customer_account,customer_name,standard_customer,deduction_reference,invoice_number,deduction_date,deduction_amount,deduction_reason,payment_number,backup_status,invoice_status,bol,pod_status,validation,invalid_amount,valid_amount,priority
1401218653,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1220949,1401218653,10/26/2023,83927.63,OSD,,,,,,,,,No
1401100587,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002334100,1401100587,1/5/2023,81569.42,OSD,,,,,,,,,No
1401178264,1001000214,OWENS & MINOR INC,Kroger,8297724,1401178264,7/12/2023,79743.15,OSD,,,,,,,,,No
9110880824,1001000236,WALMART STORES INC,Walmart,15631584,9110880824,3/9/2023,9477.9,OSD,,,,,,,,,No
1401117412,1001126331,BAYCARE HEALTH SYSTEM,BAYCARE HEALTH SYSTEM,14951496,1401117412,2/15/2023,77659.88,OSD,,,,,,,,,No
1401124571,1001000214,OWENS & MINOR INC,Kroger,8277548,1401124571,3/6/2023,76027.2,OSD,,,,,,,,,No
1401101212,1001000200,MEDLINE INDUSTRIES,Amazon,14502439,1401101212,1/6/2023,75975.79,OSD,,,,,,,,,No
1401184813,1001000146,HENRY SCHEIN INC,Target,81798710,1401184813,7/27/2023,75240,OSD,,,,,,,,,No
1401190318,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000001416,1401190318,8/10/2023,73956.74,OSD,,,,,,,,,No
1401195078,1001000147,MCKESSON DRUG COMPANY,Costco,7448833366,1401195078,8/22/2023,73737.37,OSD,,,,,,,,,No
1401216299,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000631038,1401216299,10/13/2023,71820,OSD,,,,,,,,,No
1401201515,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000635443,1401201515,9/7/2023,71397.11,OSD,,,,,,,,,No
1401224761,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002594245,1401224761,11/2/2023,71273.21,OSD,,,,,,,,,No
1401195893,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002539147,1401195893,8/24/2023,71028.51,OSD,,,,,,,,,No
1401115195,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1127901,1401115195,2/10/2023,70965,OSD,,,,,,,,,No
1401102900,1001000214,OWENS & MINOR INC,Kroger,8269169,1401102900,1/11/2023,68878.13,OSD,,,,,,,,,No
9110927193,1001000143,CARDINAL DISTRIBUTION,Walmart,12343509,9110927193,3/21/2023,68360.04,OSD,,,,,,,,,No
1401132814,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000002243,1401132814,3/24/2023,67508.96,OSD,,,,,,,,,No
1401102939,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002336115,1401102939,1/11/2023,66590.96,OSD,,,,,,,,,No
9111206351,1001073153,FISHER SCIENTIFIC COMPANY,Dollar General,89404092,9111206351,5/2/2023,65830.2,OSD,,,,,,,,,No
1401218286,1001000200,MEDLINE INDUSTRIES,Amazon,14712818,1401218286,10/18/2023,64114.1,OSD,,,,,,,,,No
1401102900,1001000214,OWENS & MINOR INC,Kroger,8269169,1401102900,1/11/2023,64026.34,OSD,,,,,,,,,No
1401237471,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000376443,1401237471,12/6/2023,63800.33,OSD,,,,,,,,,No
1401170021,1001000214,OWENS & MINOR INC,Kroger,8294486,1401170021,6/21/2023,63429.69,OSD,,,,,,,,,No
1401143974,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000587379,1401143974,4/19/2023,63038.25,OSD,,,,,,,,,No
1401197172,1001000208,CVS MERIDIAN INC,CVS,1500277266,1401197172,8/28/2023,62896.87,OSD,,,,,,,,,No
1401103685,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002337175,1401103685,1/12/2023,62874.46,OSD,,,,,,,,,No
1401105948,1001000214,OWENS & MINOR INC,Kroger,8270254,1401105948,1/19/2023,62870.06,OSD,,,,,,,,,No
1401189910,1001000200,MEDLINE INDUSTRIES,Amazon,14660872,1401189910,8/9/2023,62367.74,OSD,,,,,,,,,No
1401150434,1001000146,HENRY SCHEIN INC,Target,81766817,1401150434,5/5/2023,62352.8,OSD,,,,,,,,,No
1401126948,1001010708,MCLAREN HEALTH CARE,MCLAREN HEALTH CARE,39206,1401126948,3/10/2023,61854,OSD,,,,,,,,,No
1401213347,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000300507,1401213347,10/6/2023,60414.35,OSD,,,,,,,,,No
1401115291,1001000146,HENRY SCHEIN INC,Target,81736074,1401115291,2/10/2023,60052.8,OSD,,,,,,,,,No
1401192598,1001000214,OWENS & MINOR INC,Kroger,8303543,1401192598,8/16/2023,59593.86,OSD,,,,,,,,,No
1600542254,1001000200,MEDLINE INDUSTRIES,Amazon,14507624,1600542254,1/13/2023,59314.52,OSD,,,,,,,,,No
1401172267,1001000214,OWENS & MINOR INC,Kroger,8295518,1401172267,6/27/2023,59035.63,OSD,,,,,,,,,No
1401229581,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000463588,1401229581,11/15/2023,58613.42,OSD,,,,,,,,,No
1401104590,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002340409,1401104590,1/17/2023,57776.67,OSD,,,,,,,,,No
1401218286,1001000200,MEDLINE INDUSTRIES,Amazon,14712818,1401218286,10/18/2023,57596,OSD,,,,,,,,,No
9110631500,1001073153,FISHER SCIENTIFIC COMPANY,Dollar General,89354222,9110631500,1/10/2023,57523.6,OSD,,,,,,,,,No
1401108064,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002347317,1401108064,1/24/2023,57465.29,OSD,,,,,,,,,No
1401197998,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1199372,1401197998,8/28/2023,57026.59,OSD,,,,,,,,,No
1401236294,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2001380046,1401236294,12/4/2023,55720.3,OSD,,,,,,,,,No
1401180810,1001000147,MCKESSON DRUG COMPANY,Costco,7393890883,1401180810,7/18/2023,55249.41,OSD,,,,,,,,,No
1401232452,1001000200,MEDLINE INDUSTRIES,Amazon,14739449,1401232452,11/22/2023,54720,OSD,,,,,,,,,No
1401105662,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000684155,1401105662,1/18/2023,54297.1,OSD,,,,,,,,,No
9110705880,1001000146,HENRY SCHEIN INC,Target,81720924,9110705880,1/5/2023,54240,OSD,,,,,,,,,No
1401100016,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1114688,1401100016,1/4/2023,52963.58,OSD,,,,,,,,,No
1401173043,1001000200,MEDLINE INDUSTRIES,Amazon,14630640,1401173043,6/28/2023,52861.48,OSD,,,,,,,,,No
1401153421,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000866725,1401153421,5/11/2023,52597.49,OSD,,,,,,,,,No
1401141351,1001000214,OWENS & MINOR INC,Kroger,8283766,1401141351,4/13/2023,52539,OSD,,,,,,,,,No
1401114608,1001000214,OWENS & MINOR INC,Kroger,8273526,1401114608,2/9/2023,52303.45,OSD,,,,,,,,,No
1401105979,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1120483,1401105979,1/19/2023,52146.08,OSD,,,,,,,,,No
1401111577,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000435076,1401111577,1/27/2023,52053.8,OSD,,,,,,,,,No
1401170567,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2002167022,1401170567,6/22/2023,51984.04,OSD,,,,,,,,,No
1401111577,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000038526,1401111577,2/10/2023,51973.8,OSD,,,,,,,,,No
1401105662,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000684155,1401105662,1/18/2023,51840,OSD,,,,,,,,,No
1401102900,1001000214,OWENS & MINOR INC,Kroger,8269169,1401102900,1/11/2023,51411.35,OSD,,,,,,,,,No
1401197918,1001000147,MCKESSON DRUG COMPANY,Costco,7459028237,1401197918,8/29/2023,49792.32,OSD,,,,,,,,,No
1401217110,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000260315,1401217110,10/16/2023,49368,OSD,,,,,,,,,No
1401205221,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1207485,1401205221,9/18/2023,48608.93,OSD,,,,,,,,,No
1401129516,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000062754,1401129516,3/16/2023,48591.8,OSD,,,,,,,,,No
1401108938,1001000200,MEDLINE INDUSTRIES,Amazon,14516675,1401108938,1/26/2023,47880,OSD,,,,,,,,,No
1401222437,1001000200,MEDLINE INDUSTRIES,Amazon,14712819,1401222437,10/18/2023,47520,OSD,,,,,,,,,No
1600575895,1001000147,MCKESSON DRUG COMPANY,Costco,7435650106,1600575895,8/14/2023,47206.08,OSD,,,,,,,,,No
1401100016,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1118620,1401100016,1/13/2023,47201.18,OSD,,,,,,,,,No
1600551591,1001050979,RGH ENTERPRISES INC,C&S,1264537,1600551591,3/16/2023,46971.02,OSD,,,,,,,,,No
1600551855,1001050979,RGH ENTERPRISES INC,C&S,1264537,1600551855,3/16/2023,46971.02,OSD,,,,,,,,,No
1600551857,1001050979,RGH ENTERPRISES INC,C&S,1264537,1600551857,3/16/2023,46971.02,OSD,,,,,,,,,No
1401173340,1001000214,OWENS & MINOR INC,Kroger,8296214,1401173340,6/29/2023,46704.85,OSD,,,,,,,,,No
9110705081,1001073153,FISHER SCIENTIFIC COMPANY,Dollar General,89354222,9110705081,1/10/2023,46661.5,OSD,,,,,,,,,No
1600558539,1001000200,MEDLINE INDUSTRIES,Amazon,14586270,1600558539,4/28/2023,46544.58,OSD,,,,,,,,,No
1401196590,1001000200,MEDLINE INDUSTRIES,Amazon,14673461,1401196590,8/25/2023,46321.7,OSD,,,,,,,,,No
1401245039,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000432014,1401245039,12/27/2023,45781.66,OSD,,,,,,,,,No
1401199956,1001000208,CVS MERIDIAN INC,CVS,1500290608,1401199956,9/5/2023,45153.97,OSD,,,,,,,,,No
1401201515,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000635443,1401201515,9/7/2023,44570.76,OSD,,,,,,,,,No
1401113811,1001000214,OWENS & MINOR INC,Kroger,8273277,1401113811,2/7/2023,44513.89,OSD,,,,,,,,,No
9110703459,1001073153,FISHER SCIENTIFIC COMPANY,Dollar General,89354222,9110703459,1/10/2023,44473.12,OSD,,,,,,,,,No
1401104652,1001000146,HENRY SCHEIN INC,Target,81726031,1401104652,1/17/2023,44460,OSD,,,,,,,,,No
1401108505,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002353235,1401108505,1/25/2023,44184.22,OSD,,,,,,,,,No
1401211230,1001000214,OWENS & MINOR INC,Kroger,8311294,1401211230,10/2/2023,44103,OSD,,,,,,,,,No
1401246277,1001000200,MEDLINE INDUSTRIES,Amazon,14766844,1401246277,12/29/2023,43995,OSD,,,,,,,,,No
1401104590,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002340409,1401104590,1/17/2023,43947.78,OSD,,,,,,,,,No
1401143322,1001000214,OWENS & MINOR INC,Kroger,8284255,1401143322,4/18/2023,43939.65,OSD,,,,,,,,,No
1401102814,1001000147,MCKESSON DRUG COMPANY,Costco,7103534395,1401102814,1/10/2023,43879.46,OSD,,,,,,,,,No
9111029490,1001081125,CARDINAL HEALTH - BORSCHOW,Walmart,2012738059,9111029490,6/5/2023,43652.52,OSD,,,,,,,,,No
9111029490,1001081125,CARDINAL HEALTH - BORSCHOW,Walmart,2012738059,9111029490,6/5/2023,43628.8,OSD,,,,,,,,,No
1401179178,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000020059,1401179178,7/14/2023,43407.24,OSD,,,,,,,,,No
1401189910,1001000200,MEDLINE INDUSTRIES,Amazon,14660872,1401189910,8/9/2023,43333.01,OSD,,,,,,,,,No
1401099992,1001000146,HENRY SCHEIN INC,Target,81720837,1401099992,1/4/2023,43216.8,OSD,,,,,,,,,No
1401180810,1001000147,MCKESSON DRUG COMPANY,Costco,7393890883,1401180810,7/18/2023,43181.02,OSD,,,,,,,,,No
1401152920,1001000214,OWENS & MINOR INC,Kroger,8288104,1401152920,5/10/2023,42975,OSD,,,,,,,,,No
1401198619,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000156303,1401198619,8/23/2023,42750,OSD,,,,,,,,,No
9110945589,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1146158,9110945589,4/3/2023,42665,OSD,,,,,,,,,No
9111173905,1001038817,AERO MED LTD,Albertsons,969100001,9111173905,6/28/2023,42120,OSD,,,,,,,,,No
1401240524,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2001060816,1401240524,12/14/2023,42115.98,OSD,,,,,,,,,No
1401108505,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002353235,1401108505,1/25/2023,41500.87,OSD,,,,,,,,,No
9111359873,1001050979,RGH ENTERPRISES INC,C&S,1282882,9111359873,6/26/2023,90.75,OSD,,,,,,,,,No
1401207940,1001625204,MEDLINE CUSTOM STERILE,MEDLINE CUSTOM STERILE,14693896,1401207940,9/22/2023,41435,OSD,,,,,,,,,No
1401241248,1001000200,MEDLINE INDUSTRIES,Amazon,14756404,1401241248,12/15/2023,41365.6,OSD,,,,,,,,,No
1401102900,1001000214,OWENS & MINOR INC,Kroger,8269169,1401102900,1/11/2023,41074.28,OSD,,,,,,,,,No
1401100976,1001000146,HENRY SCHEIN INC,Target,81722621,1401100976,1/6/2023,41040,OSD,,,,,,,,,No
1401103487,1001000214,OWENS & MINOR INC,Kroger,8269323,1401103487,1/12/2023,41032.12,OSD,,,,,,,,,No
1401223886,1001000147,MCKESSON DRUG COMPANY,Costco,7554887713,1401223886,10/31/2023,40826.88,OSD,,,,,,,,,No
1401243357,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000128383,1401243357,12/21/2023,40801.8,OSD,,,,,,,,,No
1401062021,1001000143,CARDINAL DISTRIBUTION,Walmart,13750214,1401062021,1/18/2023,40699.71,OSD,,,,,,,,,No
1401207940,1001000200,MEDLINE INDUSTRIES,Amazon,14693896,1401207940,9/22/2023,40595.27,OSD,,,,,,,,,No
1401191145,1001000214,OWENS & MINOR INC,Kroger,8303060,1401191145,8/14/2023,40475.65,OSD,,,,,,,,,No
1401106543,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002354331,1401106543,1/20/2023,40242.77,OSD,,,,,,,,,No
1401129516,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000062754,1401129516,3/16/2023,40027.97,OSD,,,,,,,,,No
1401141939,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002420309,1401141939,4/14/2023,39753.53,OSD,,,,,,,,,No
1401105989,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002354146,1401105989,1/19/2023,39494.16,OSD,,,,,,,,,No
1401107461,1001000214,OWENS & MINOR INC,Kroger,8270767,1401107461,1/23/2023,39182.1,OSD,,,,,,,,,No
1401219243,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1218806,1401219243,10/20/2023,39090.14,OSD,,,,,,,,,No
1401198924,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000180293,1401198924,8/31/2023,38946.49,OSD,,,,,,,,,No
1401221169,1001000200,MEDLINE INDUSTRIES,Amazon,14718253,1401221169,10/25/2023,38835.1,OSD,,,,,,,,,No
1401131974,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000666139,1401131974,3/22/2023,38097.43,OSD,,,,,,,,,No
1401177437,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000120040,1401177437,7/6/2023,37982.42,OSD,,,,,,,,,No
1401106268,1001000235,VWR SCIENTIFIC,VWR Sc,97110595,1401106268,1/18/2023,37889.59,OSD,,,,,,,,,No
1401166983,1001000147,MCKESSON DRUG COMPANY,Costco,7343418670,1401166983,6/13/2023,37808.77,OSD,,,,,,,,,No
1401201515,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000401104,1401201515,9/13/2023,37615.56,OSD,,,,,,,,,No
1401234606,1001000147,MCKESSON DRUG COMPANY,Costco,7595814694,1401234606,11/28/2023,37396.8,OSD,,,,,,,,,No
1401106812,1001000147,MCKESSON DRUG COMPANY,Costco,7119926553,1401106812,1/20/2023,37231.1,OSD,,,,,,,,,No
1401152958,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002444080,1401152958,5/10/2023,37212.04,OSD,,,,,,,,,No
1401209975,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000375843,1401209975,9/28/2023,36975,OSD,,,,,,,,,No
1401102900,1001000214,OWENS & MINOR INC,Kroger,8269169,1401102900,1/11/2023,36911.45,OSD,,,,,,,,,No
1401101343,1001000214,OWENS & MINOR INC,Kroger,8268902,1401101343,1/9/2023,36707.36,OSD,,,,,,,,,No
1401207940,1001000200,MEDLINE INDUSTRIES,Amazon,14693896,1401207940,9/22/2023,36608.42,OSD,,,,,,,,,No
1401197112,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002539698,1401197112,8/28/2023,36270.25,OSD,,,,,,,,,No
9111029490,1001081125,CARDINAL HEALTH - BORSCHOW,Walmart,2019844820,9111029490,7/31/2023,36101,OSD,,,,,,,,,No
1401177865,1001000147,MCKESSON DRUG COMPANY,Costco,7383669574,1401177865,7/11/2023,35950.34,OSD,,,,,,,,,No
1401198924,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000180293,1401198924,8/31/2023,35913.42,OSD,,,,,,,,,No
1401218089,1001000214,OWENS & MINOR INC,Kroger,8313640,1401218089,10/18/2023,35694.85,OSD,,,,,,,,,No
1401069155,1001000208,CVS MERIDIAN INC,CVS,OFFSET REQUEST,1401069155,2/2/2023,35443.01,OSD,,,,,,,,,No
9111165358,1001038817,AERO MED LTD,Albertsons,954500001,9111165358,5/10/2023,35225.92,OSD,,,,,,,,,No
1401163607,1001000214,OWENS & MINOR INC,Kroger,8292306,1401163607,6/5/2023,35160,OSD,,,,,,,,,No
1401234861,1001000214,OWENS & MINOR INC,Kroger,8320574,1401234861,11/29/2023,34920.06,OSD,,,,,,,,,No
1401196590,1001000200,MEDLINE INDUSTRIES,Amazon,14674835,1401196590,8/28/2023,34867.9,OSD,,,,,,,,,No
1401154938,1001000200,MEDLINE INDUSTRIES,Amazon,14596526,1401154938,5/12/2023,34626,OSD,,,,,,,,,No
1600568230,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000120040,1600568230,7/6/2023,34224.57,OSD,,,,,,,,,No
1401219929,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002573577,1401219929,10/23/2023,34221.89,OSD,,,,,,,,,No
1401099924,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000218979,1401099924,1/4/2023,34175.78,OSD,,,,,,,,,No
1401101533,1001000214,OWENS & MINOR INC,Kroger,8268902,1401101533,1/9/2023,34017.04,OSD,,,,,,,,,No
1401197087,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2001040033,1401197087,8/28/2023,33712.48,OSD,,,,,,,,,No
1401154938,1001000200,MEDLINE INDUSTRIES,Amazon,14596526,1401154938,5/12/2023,33682.32,OSD,,,,,,,,,No
1401152632,1001000147,MCKESSON DRUG COMPANY,Costco,7284008576,1401152632,5/9/2023,33637.44,OSD,,,,,,,,,No
9111004498,1001000144,MCKESSON MEDICAL SURGICAL INC,Costco,1145070,9111004498,3/30/2023,33538.88,OSD,,,,,,,,,No
1600541423,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000931672,1600541423,1/9/2023,33274.84,OSD,,,,,,,,,No
1401093066,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000499193,1401093066,1/12/2023,33209.54,OSD,,,,,,,,,No
1401113031,1001000214,OWENS & MINOR INC,Kroger,8273135,1401113031,2/6/2023,33180.34,OSD,,,,,,,,,No
1401117412,1001126331,BAYCARE HEALTH SYSTEM,BAYCARE HEALTH SYSTEM,14951496,1401117412,2/15/2023,33154.18,OSD,,,,,,,,,No
1401148615,1001000214,OWENS & MINOR INC,Kroger,8286558,1401148615,5/1/2023,33009,OSD,,,,,,,,,No
9111511257,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000325514,9111511257,8/11/2023,33000,OSD,,,,,,,,,No
1401100548,1001000214,OWENS & MINOR INC,Kroger,8268487,1401100548,1/5/2023,32944.38,OSD,,,,,,,,,No
1401135422,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000562571,1401135422,3/30/2023,32897.64,OSD,,,,,,,,,No
1401202834,1001000214,OWENS & MINOR INC,Kroger,8307700,1401202834,9/11/2023,32874.8,OSD,,,,,,,,,No
1401099888,1001000214,OWENS & MINOR INC,Kroger,8268237,1401099888,1/4/2023,32852.8,OSD,,,,,,,,,No
1401217086,1001000214,OWENS & MINOR INC,Kroger,8313187,1401217086,10/16/2023,32577.53,OSD,,,,,,,,,No
1401124571,1001000214,OWENS & MINOR INC,Kroger,8278120,1401124571,3/9/2023,32486.4,OSD,,,,,,,,,No
1401231435,1001000214,OWENS & MINOR INC,Kroger,8318881,1401231435,11/20/2023,32454,OSD,,,,,,,,,No
1401128958,1001000143,CARDINAL DISTRIBUTION,Walmart,15915571,1401128958,3/15/2023,32342.37,OSD,,,,,,,,,No
1401171271,1001000141,AMERISOURCE BERGEN CORP,Supervalu,2002476248,1401171271,6/23/2023,32209.74,OSD,,,,,,,,,No
1401215640,1001000161,CARDINAL MEDICAL PRODUCTS,Walmart,2000321480,1401215640,10/12/2023,32172,OSD,,,,,,,,,No
1401112542,1001000200,MEDLINE INDUSTRIES,Amazon,14522650,1401112542,2/3/2023,32160,OSD,,,,,,,,,No
